"Period","Indikator","value"
"1997M06","Massa- & pappersindustri (SNI 17)",NA
"1997M07","Massa- & pappersindustri (SNI 17)",NA
"1997M08","Massa- & pappersindustri (SNI 17)",NA
"1997M09","Massa- & pappersindustri (SNI 17)",NA
"1997M10","Massa- & pappersindustri (SNI 17)",NA
"1997M11","Massa- & pappersindustri (SNI 17)",NA
"1997M12","Massa- & pappersindustri (SNI 17)",NA
"1998M01","Massa- & pappersindustri (SNI 17)",NA
"1998M02","Massa- & pappersindustri (SNI 17)",NA
"1998M03","Massa- & pappersindustri (SNI 17)",NA
"1998M04","Massa- & pappersindustri (SNI 17)",NA
"1998M05","Massa- & pappersindustri (SNI 17)",NA
"1998M06","Massa- & pappersindustri (SNI 17)",NA
"1998M07","Massa- & pappersindustri (SNI 17)",NA
"1998M08","Massa- & pappersindustri (SNI 17)",NA
"1998M09","Massa- & pappersindustri (SNI 17)",NA
"1998M10","Massa- & pappersindustri (SNI 17)",NA
"1998M11","Massa- & pappersindustri (SNI 17)",NA
"1998M12","Massa- & pappersindustri (SNI 17)",NA
"1999M01","Massa- & pappersindustri (SNI 17)",NA
"1999M02","Massa- & pappersindustri (SNI 17)",NA
"1999M03","Massa- & pappersindustri (SNI 17)",NA
"1999M04","Massa- & pappersindustri (SNI 17)",NA
"1999M05","Massa- & pappersindustri (SNI 17)",NA
"1999M06","Massa- & pappersindustri (SNI 17)",NA
"1999M07","Massa- & pappersindustri (SNI 17)",NA
"1999M08","Massa- & pappersindustri (SNI 17)",NA
"1999M09","Massa- & pappersindustri (SNI 17)",NA
"1999M10","Massa- & pappersindustri (SNI 17)",NA
"1999M11","Massa- & pappersindustri (SNI 17)",NA
"1999M12","Massa- & pappersindustri (SNI 17)",NA
"2000M01","Massa- & pappersindustri (SNI 17)",113.5
"2000M02","Massa- & pappersindustri (SNI 17)",114.1
"2000M03","Massa- & pappersindustri (SNI 17)",112.4
"2000M04","Massa- & pappersindustri (SNI 17)",111.2
"2000M05","Massa- & pappersindustri (SNI 17)",110.4
"2000M06","Massa- & pappersindustri (SNI 17)",108
"2000M07","Massa- & pappersindustri (SNI 17)",104.2
"2000M08","Massa- & pappersindustri (SNI 17)",108
"2000M09","Massa- & pappersindustri (SNI 17)",106.7
"2000M10","Massa- & pappersindustri (SNI 17)",104.3
"2000M11","Massa- & pappersindustri (SNI 17)",100.1
"2000M12","Massa- & pappersindustri (SNI 17)",100.7
"2001M01","Massa- & pappersindustri (SNI 17)",97.1
"2001M02","Massa- & pappersindustri (SNI 17)",91.3
"2001M03","Massa- & pappersindustri (SNI 17)",90.2
"2001M04","Massa- & pappersindustri (SNI 17)",84.3
"2001M05","Massa- & pappersindustri (SNI 17)",85.3
"2001M06","Massa- & pappersindustri (SNI 17)",88.2
"2001M07","Massa- & pappersindustri (SNI 17)",83.6
"2001M08","Massa- & pappersindustri (SNI 17)",80
"2001M09","Massa- & pappersindustri (SNI 17)",84.4
"2001M10","Massa- & pappersindustri (SNI 17)",86.5
"2001M11","Massa- & pappersindustri (SNI 17)",87.8
"2001M12","Massa- & pappersindustri (SNI 17)",85.3
"2002M01","Massa- & pappersindustri (SNI 17)",86.4
"2002M02","Massa- & pappersindustri (SNI 17)",88.9
"2002M03","Massa- & pappersindustri (SNI 17)",88.3
"2002M04","Massa- & pappersindustri (SNI 17)",93.5
"2002M05","Massa- & pappersindustri (SNI 17)",96.5
"2002M06","Massa- & pappersindustri (SNI 17)",95.8
"2002M07","Massa- & pappersindustri (SNI 17)",99.8
"2002M08","Massa- & pappersindustri (SNI 17)",98.6
"2002M09","Massa- & pappersindustri (SNI 17)",90.5
"2002M10","Massa- & pappersindustri (SNI 17)",95.2
"2002M11","Massa- & pappersindustri (SNI 17)",93.7
"2002M12","Massa- & pappersindustri (SNI 17)",94.2
"2003M01","Massa- & pappersindustri (SNI 17)",90.7
"2003M02","Massa- & pappersindustri (SNI 17)",93.8
"2003M03","Massa- & pappersindustri (SNI 17)",102.9
"2003M04","Massa- & pappersindustri (SNI 17)",94.7
"2003M05","Massa- & pappersindustri (SNI 17)",87.1
"2003M06","Massa- & pappersindustri (SNI 17)",87.9
"2003M07","Massa- & pappersindustri (SNI 17)",83.4
"2003M08","Massa- & pappersindustri (SNI 17)",88.1
"2003M09","Massa- & pappersindustri (SNI 17)",85.9
"2003M10","Massa- & pappersindustri (SNI 17)",87.7
"2003M11","Massa- & pappersindustri (SNI 17)",89.4
"2003M12","Massa- & pappersindustri (SNI 17)",88
"2004M01","Massa- & pappersindustri (SNI 17)",87.9
"2004M02","Massa- & pappersindustri (SNI 17)",90.5
"2004M03","Massa- & pappersindustri (SNI 17)",92.6
"2004M04","Massa- & pappersindustri (SNI 17)",91.9
"2004M05","Massa- & pappersindustri (SNI 17)",99.3
"2004M06","Massa- & pappersindustri (SNI 17)",100.7
"2004M07","Massa- & pappersindustri (SNI 17)",93.3
"2004M08","Massa- & pappersindustri (SNI 17)",98.3
"2004M09","Massa- & pappersindustri (SNI 17)",99.6
"2004M10","Massa- & pappersindustri (SNI 17)",91.9
"2004M11","Massa- & pappersindustri (SNI 17)",94.5
"2004M12","Massa- & pappersindustri (SNI 17)",93.9
"2005M01","Massa- & pappersindustri (SNI 17)",94
"2005M02","Massa- & pappersindustri (SNI 17)",96.8
"2005M03","Massa- & pappersindustri (SNI 17)",92
"2005M04","Massa- & pappersindustri (SNI 17)",92.3
"2005M05","Massa- & pappersindustri (SNI 17)",88.6
"2005M06","Massa- & pappersindustri (SNI 17)",86.8
"2005M07","Massa- & pappersindustri (SNI 17)",93.5
"2005M08","Massa- & pappersindustri (SNI 17)",94.7
"2005M09","Massa- & pappersindustri (SNI 17)",94.7
"2005M10","Massa- & pappersindustri (SNI 17)",100.5
"2005M11","Massa- & pappersindustri (SNI 17)",99.8
"2005M12","Massa- & pappersindustri (SNI 17)",101.4
"2006M01","Massa- & pappersindustri (SNI 17)",104.3
"2006M02","Massa- & pappersindustri (SNI 17)",104.3
"2006M03","Massa- & pappersindustri (SNI 17)",100
"2006M04","Massa- & pappersindustri (SNI 17)",102.7
"2006M05","Massa- & pappersindustri (SNI 17)",104.1
"2006M06","Massa- & pappersindustri (SNI 17)",100.6
"2006M07","Massa- & pappersindustri (SNI 17)",97.8
"2006M08","Massa- & pappersindustri (SNI 17)",101.1
